ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000098104,18.85047679232076,0.12020666354159551,0.2345926046044452,0.5121640534954169,0.6085361985765328,0.9132248463221181
ENSMUSG00000033845,23.3332793784849,0.40013707795463727,0.23175388892567683,1.721596436736983,0.08514264912986193,0.47265018149653615
ENSMUSG00000025903,37.101585877678815,0.4826344547461235,0.21394792302606475,2.2492322985884194,0.02449772056964769,0.235790560482859
ENSMUSG00000033793,33.36730274784757,0.10265746214582659,0.2162548619946718,0.47464590887801084,0.635039378174171,0.9224479371579677
ENSMUSG00000025907,22.387459162538352,0.5063611290299096,0.23107296955272694,2.181124648451628,0.02917419819179353,0.2650317388705245
ENSMUSG00000051285,21.148462025677468,0.27729440298101893,0.23176645045535862,1.1946693002494033,0.23221626151583577,0.7110408223460588
ENSMUSG00000061024,15.642676234241211,-0.18250483604764883,0.23795083391800628,-0.7664903088170929,0.44338461607558494,0.8496731559166097
ENSMUSG00000045210,36.2757329706199,0.09095707603423143,0.2136016746094581,0.425747353448034,0.6702919527931817,0.9314616303112724
ENSMUSG00000097893,5.538105034953408,0.24463603321934935,0.21999198978135553,1.1099075462576389,0.26703886835651763,1
ENSMUSG00000025917,35.99979775530682,0.28688062429773803,0.21581044713931097,1.3278088624890925,0.184241258419762,0.6574682062346441
ENSMUSG00000067851,145.90749135421072,-0.024101914058132442,0.1568453954592923,-0.1536726320609336,0.8778678648719175,0.9815290503630005
ENSMUSG00000016918,9.070237279948513,-0.13955869715684774,0.2351726119514998,-0.5932607724929436,0.5530066469453464,0.8926975668411757
ENSMUSG00000005886,36.25395163430158,-0.16047562198691412,0.21628107518523262,-0.7418728320966681,0.4581643877148154,0.858779475921896
ENSMUSG00000025935,86.41224196149813,0.29764920109810966,0.1798163640203161,1.654428126152968,0.09804055564192135,0.5050162877702661
ENSMUSG00000025937,12.207627505916125,0.005626274111729256,0.23793452617172903,0.023656580769314074,0.9811265398302774,0.9967963033060757
ENSMUSG00000025925,5.294812495464168,-0.019763451025021445,0.21727428157426804,-0.09105486582414707,0.9274489954546535,1
ENSMUSG00000043716,126.93323431159622,0.4725917276546872,0.16415171005704568,2.8765791669501457,0.004020113390503747,0.0728349955455973
ENSMUSG00000025921,27.60253948207947,-0.1479796158769918,0.22477884822476088,-0.658406357065435,0.5102770515978196,0.879681924952663
ENSMUSG00000025920,14.085906873483111,0.10535529500838432,0.23782010098427245,0.44273751509789055,0.6579556039872038,0.9281696738413775
ENSMUSG00000025939,11.251911570504356,0.046349905236287105,0.23629796508996184,0.19632776886311307,0.8443536278990457,0.9709269811937823
ENSMUSG00000079658,18.228242093908438,0.36182460051733834,0.2362596773928684,1.5282787349941342,0.12644334734549526,0.5666793670295853
ENSMUSG00000025940,20.753167793769013,-0.06991592108215355,0.2322697532730714,-0.3010304825055132,0.7633912503034124,0.951932286388719
ENSMUSG00000041859,23.170153803185503,0.36532762723092016,0.23161105127215006,1.573329061638414,0.11564264343427112,0.5505970635154103
ENSMUSG00000025931,31.793260762404493,0.15770722204441362,0.21848086168478487,0.7214793020268292,0.4706146707818185,0.863325167267037
ENSMUSG00000041779,8.753853457802864,0.4821062679035939,0.23148984728496688,2.0718383546644006,0.038280518472131306,0.31225716072427107
ENSMUSG00000082935,13.492799129595534,-0.03512028648249893,0.2379000388922723,-0.14763235313550985,0.8826329207579242,0.9815758931896965
ENSMUSG00000041670,9.691256091261428,-0.05321069388096692,0.2353775510169516,-0.2259959193870935,0.8212045940921012,0.9657668774760563
ENSMUSG00000026158,4.3220363453487165,0.03822495269458412,0.20298116079899364,0.1887554616196234,0.8502844807284622,1
ENSMUSG00000026156,7.7859300206860995,-0.09681567067705221,0.23032199469376563,-0.4206433559524526,0.6740155293915032,1
ENSMUSG00000026155,45.83886173062453,0.2785118243022532,0.20386829347422689,1.3648683123288297,0.17229444331858346,0.6422929748420649
ENSMUSG00000026154,5.656370577121247,-0.07047037175837557,0.2171260771979387,-0.3251298503800565,0.7450827978493733,1
ENSMUSG00000026153,24.361720676474114,0.2121496519060277,0.23200966758324526,0.913458388498575,0.3610015090016455,0.8061163696006745
ENSMUSG00000100131,29.399489234132446,-0.31924438536321326,0.2151660445249673,-1.506261497672561,0.13200005789235505,0.5758804361025301
ENSMUSG00000067736,5.611935464771639,-0.25229204996547666,0.21158503014985175,-1.1938675325159698,0.23252978964753182,1
ENSMUSG00000101939,7.713683711408546,-0.2140143178429998,0.22479308515794053,-0.9509882449142655,0.3416103431990663,1
ENSMUSG00000101111,153.82625931524964,-0.1584576080000068,0.16819951779658882,-0.9710743399993196,0.3315112606914492,0.784594218467415
ENSMUSG00000100862,152.35075286164422,-0.14306585806284197,0.1748107040722523,-0.8341433587832227,0.40420020450011446,0.8313315161477741
ENSMUSG00000102070,123.7169182498498,-0.1443644315708339,0.17089312481264024,-0.8639227197154791,0.38763034505269184,0.8227933084626053
ENSMUSG00000101249,159.37457245664112,-0.18566706272269765,0.16949644647424156,-1.1405281201547834,0.2540663442711017,0.7324213278479954
ENSMUSG00000073725,51.50179273292279,0.07330001650064706,0.19794262006726815,0.3702500957442042,0.7111961535240043,0.9405164853403392
ENSMUSG00000048874,40.09601832785912,0.29464228811543103,0.2119836378495107,1.388802173080568,0.16489291428113165,0.6313002616198319
ENSMUSG00000026134,4.425678986375862,0.010630690210577507,0.20840374666920525,0.05098404679357693,0.9593382328289428,1
ENSMUSG00000004768,7.533137297065107,0.02157230865680698,0.23043896944692213,0.09356057000822748,0.9254582327439312,1
ENSMUSG00000042215,10.488207356247083,-0.025423458322476864,0.23550249274902854,-0.10789878352376807,0.9140759820968251,0.9857502219641247
